Player,Matches,RiP%,RiP W%,RetWnr%,Wnr FH%,RDI,Slice%,1st: RiP%,RiP W%.1,RetWnr%.1,RDI.1,Slice%.1,2nd: RiP%,RiP W%.2,RetWnr%.2,RDI.2,Slice%.2
Thomaz Bellucci,20,69.8%,49.2%,2.7%,51.2%,2.23,14.7%,64.6%,44.8%,2.6%,2.17,22.6%,85.0%,54.8%,3.1%,2.31,4.2%
Federico Delbonis,29,64.6%,46.3%,3.3%,41.3%,2.24,13.3%,57.6%,45.2%,2.3%,2.22,20.1%,83.5%,47.8%,5.6%,2.28,3.3%
Tallon Griekspoor,50,65.7%,48.4%,5.7%,54.3%,2.25,16.9%,63.1%,44.5%,4.7%,2.19,25.2%,78.3%,54.0%,8.1%,2.34,4.9%
Robin Haase,55,69.5%,44.6%,3.6%,40.4%,2.2,20.4%,66.3%,40.8%,2.9%,2.2,30.0%,83.1%,50.0%,5.4%,2.2,9.6%
Gilles Simon,67,70.4%,50.0%,4.2%,57.9%,2.32,17.0%,65.2%,45.2%,2.6%,2.29,23.0%,85.9%,56.4%,7.4%,2.36,8.7%
Aslan Karatsev,35,61.7%,52.8%,2.4%,49.3%,2.3,15.2%,58.9%,51.6%,2.2%,2.23,22.6%,77.0%,54.4%,3.4%,2.39,5.5%
Roberto Bautista Agut,86,68.9%,47.6%,2.9%,47.7%,2.31,15.0%,63.4%,43.8%,1.9%,2.28,20.9%,85.2%,52.5%,4.9%,2.35,4.2%
Marco Cecchinato,26,73.3%,46.6%,4.5%,39.8%,2.26,11.2%,72.0%,43.3%,3.9%,2.23,15.0%,83.8%,52.2%,6.1%,2.32,3.2%
Jack Sock,27,67.2%,47.7%,2.8%,40.7%,2.29,19.6%,63.6%,43.8%,2.6%,2.28,26.4%,80.9%,53.3%,3.3%,2.3,10.8%
Jim Courier,47,66.0%,49.4%,3.4%,51.6%,2.01,30.7%,63.8%,45.9%,3.2%,1.99,40.6%,81.6%,53.6%,4.5%,2.04,17.7%
Karim Mohamed Maamoun,46,67.4%,49.7%,2.5%,59.3%,1.97,9.6%,63.5%,45.4%,2.3%,1.98,12.6%,83.4%,55.1%,3.3%,1.97,4.8%
Paolo Lorenzi,21,70.3%,43.1%,3.9%,50.0%,2.29,12.5%,68.2%,40.7%,2.1%,2.21,20.9%,85.4%,46.8%,8.0%,2.38,3.6%
Marcelo Rios,31,70.7%,51.7%,2.9%,41.8%,2.21,21.5%,65.6%,47.2%,2.4%,2.14,29.0%,85.7%,56.3%,3.8%,2.3,12.4%
Sebastian Baez,31,70.3%,52.7%,4.6%,65.7%,2.26,5.2%,67.7%,49.0%,4.5%,2.25,6.5%,84.5%,58.3%,5.4%,2.3,1.6%
Stan Wawrinka,140,69.1%,46.1%,3.3%,48.6%,2.25,19.9%,66.1%,42.2%,2.6%,2.19,28.6%,82.0%,51.8%,5.0%,2.32,10.2%
Boris Becker,109,64.5%,49.3%,9.1%,40.6%,1.71,29.3%,63.1%,45.4%,7.1%,1.58,33.3%,78.5%,54.5%,14.0%,1.83,25.3%
Fabio Fognini,63,72.9%,48.1%,3.6%,54.2%,2.3,10.1%,69.6%,44.8%,2.2%,2.29,15.6%,84.0%,53.0%,6.2%,2.32,2.4%
Stefanos Tsitsipas,164,68.3%,44.4%,3.3%,59.3%,2.21,12.9%,63.9%,41.5%,2.4%,2.16,19.6%,84.3%,48.9%,5.6%,2.26,3.8%
David Goffin,80,67.9%,51.1%,3.7%,47.2%,2.31,17.9%,63.7%,46.9%,2.3%,2.26,27.1%,82.5%,56.8%,6.6%,2.37,7.2%
Daniil Medvedev,215,73.3%,49.0%,3.2%,52.6%,2.26,19.8%,69.2%,44.6%,2.1%,2.21,30.4%,88.9%,55.6%,5.8%,2.33,5.6%
Pedro Martinez,20,75.3%,47.7%,3.9%,54.0%,2.2,7.0%,73.0%,44.2%,3.5%,2.16,9.6%,88.0%,53.7%,5.3%,2.28,1.7%
Robin Soderling,25,62.6%,48.8%,2.6%,50.9%,2.16,30.8%,56.1%,44.3%,1.7%,2.15,40.6%,79.9%,54.7%,4.4%,2.17,17.2%
Andrey Rublev,123,64.7%,51.1%,5.5%,51.4%,2.31,13.9%,59.0%,47.6%,2.8%,2.29,22.8%,83.2%,55.7%,11.3%,2.33,3.0%
Ivo Karlovic,42,56.3%,37.9%,8.9%,42.0%,1.51,20.3%,55.2%,33.9%,6.3%,1.43,26.7%,66.3%,45.4%,15.7%,1.62,11.8%
Nikoloz Basilashvili,44,62.3%,52.7%,3.0%,45.8%,2.29,9.6%,55.1%,48.8%,2.5%,2.28,15.7%,81.2%,57.4%,4.4%,2.3,1.9%
Laslo Djere,30,68.4%,47.7%,2.2%,50.9%,2.3,14.4%,64.6%,45.1%,1.8%,2.3,21.4%,82.8%,51.3%,3.3%,2.3,5.2%
Tommy Haas,40,66.1%,44.8%,3.3%,31.0%,2.15,25.9%,60.3%,40.1%,2.6%,2.13,34.7%,81.7%,50.1%,4.6%,2.17,14.5%
Rafael Nadal,450,73.9%,50.8%,3.3%,44.0%,2.24,10.2%,70.4%,46.8%,2.8%,2.24,13.8%,87.5%,56.6%,4.5%,2.24,2.6%
Bernard Tomic,31,61.7%,46.2%,4.0%,58.2%,2.38,29.0%,54.7%,43.0%,2.7%,2.32,38.5%,81.6%,50.3%,6.9%,2.47,14.2%
David Nalbandian,44,68.0%,51.8%,4.5%,49.7%,2.17,17.4%,61.5%,45.6%,4.5%,2.14,20.5%,84.5%,58.7%,5.1%,2.22,12.7%
Guillermo Coria,27,76.4%,50.2%,3.8%,70.0%,2.28,10.1%,74.0%,46.3%,2.7%,2.25,13.4%,90.1%,55.7%,6.3%,2.36,2.8%
Viktor Troicki,21,67.8%,43.4%,4.0%,54.4%,2.26,18.8%,65.4%,39.4%,2.4%,2.23,30.8%,80.1%,49.2%,7.4%,2.3,3.8%
Ivan Lendl,92,65.5%,51.1%,5.0%,40.5%,1.93,29.3%,64.7%,49.5%,3.8%,1.86,37.2%,81.3%,53.3%,8.4%,2.01,21.7%
Frances Tiafoe,53,63.7%,47.7%,4.5%,41.3%,2.28,14.7%,56.8%,44.4%,3.4%,2.24,20.8%,82.7%,51.7%,7.1%,2.33,6.7%
Diego Schwartzman,113,71.9%,50.6%,3.6%,56.8%,2.39,7.5%,68.5%,46.3%,2.5%,2.35,9.8%,87.3%,56.6%,6.0%,2.44,3.5%
Philipp Kohlschreiber,41,67.2%,48.8%,3.9%,46.5%,2.19,14.3%,62.6%,45.8%,2.8%,2.12,17.8%,81.9%,52.6%,6.3%,2.29,9.3%
Pablo Cuevas,37,68.3%,49.1%,2.2%,49.2%,2.28,16.4%,63.9%,46.3%,2.0%,2.25,22.3%,84.0%,53.3%,2.9%,2.33,8.5%
Richard Krajicek,21,63.3%,43.4%,12.3%,38.4%,1.54,13.9%,63.3%,40.8%,7.3%,1.4,22.1%,75.3%,47.3%,23.2%,1.67,6.9%
Marin Cilic,91,64.9%,49.3%,3.4%,42.0%,2.23,20.8%,60.0%,46.3%,2.0%,2.18,32.6%,80.0%,53.4%,6.4%,2.28,8.8%
Alexandr Dolgopolov,24,61.8%,50.9%,5.0%,62.0%,2.23,19.4%,58.7%,46.6%,2.2%,2.15,29.3%,76.0%,57.2%,10.9%,2.3,10.1%
Juan Martin Del Potro,144,69.1%,46.7%,3.3%,40.6%,2.22,23.2%,64.1%,43.8%,2.5%,2.16,29.8%,85.9%,50.5%,5.0%,2.3,13.7%
Filip Krajinovic,35,62.5%,46.2%,4.4%,51.4%,2.33,14.6%,54.3%,42.9%,3.8%,2.26,20.6%,81.8%,49.6%,5.9%,2.43,5.4%
Jordan Thompson,22,65.9%,48.5%,4.1%,59.0%,2.26,12.9%,63.7%,44.9%,3.7%,2.19,18.0%,83.8%,53.4%,5.7%,2.35,6.3%
Vasek Pospisil,24,55.4%,49.0%,4.5%,55.0%,2.15,21.9%,52.7%,45.9%,3.2%,1.99,29.4%,68.5%,53.8%,7.7%,2.31,14.2%
Alex De Minaur,73,71.7%,47.6%,3.3%,47.5%,2.31,13.5%,67.9%,44.8%,1.9%,2.27,19.3%,87.4%,51.5%,6.0%,2.36,5.5%
