player_id,Player,Matches,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP/Match,FHP/100,BHP/Match,BHP/100
122,Karim Mohamed Maamoun,46,4.4,4.7,4.1,0.469,0.488,0.5429999999999999,0.48700000000000004,0.486,0.149,4.9,4.2,-2.8,-2.4
123,Paolo Lorenzi,21,4.4,4.5,4.4,0.493,0.501,0.489,0.43200000000000005,0.479,0.16699999999999998,-0.5,-0.4,-0.0,-0.0
124,Marcelo Rios,31,4.4,4.3,4.5,0.505,0.514,0.534,0.5529999999999999,0.48,0.085,9.4,6.2,2.5,1.7
125,Sebastian Baez,31,4.6,4.8,4.4,0.46299999999999997,0.547,0.555,0.516,0.5589999999999999,0.161,7.1,5.0,1.0,1.0
126,Stan Wawrinka,140,4.1,4.0,4.2,0.508,0.47700000000000004,0.503,0.494,0.496,0.311,5.9,4.4,0.3,0.2
127,Boris Becker,109,3.1,2.9,3.2,0.513,0.5,0.47200000000000003,0.506,0.389,0.39299999999999996,5.4,7.6,1.8,2.7
128,Fabio Fognini,63,4.4,4.4,4.4,0.456,0.51,0.532,0.49,0.484,0.185,5.4,4.4,-1.1,-0.9
129,Stefanos Tsitsipas,164,4.0,3.8,4.2,0.513,0.495,0.465,0.49700000000000005,0.5329999999999999,0.222,9.2,6.7,-1.6,-1.7
130,David Goffin,80,4.2,4.4,4.1,0.49,0.526,0.529,0.499,0.5329999999999999,0.14300000000000002,9.3,6.3,1.1,1.0
131,Daniil Medvedev,215,4.8,4.4,5.1,0.53,0.528,0.515,0.528,0.45799999999999996,0.077,6.4,4.8,5.4,3.5
132,Pedro Martinez,20,4.7,4.8,4.6,0.49700000000000005,0.456,0.515,0.489,0.535,0.25,7.0,4.7,2.1,1.9
133,Robin Soderling,25,3.9,3.8,4.1,0.48200000000000004,0.52,0.522,0.495,0.5539999999999999,0.092,7.7,5.1,0.8,0.7
134,Andrey Rublev,123,4.0,4.2,3.8,0.501,0.515,0.53,0.525,0.499,0.09699999999999999,12.1,10.0,0.9,0.8
135,Ivo Karlovic,42,2.4,2.1,2.8,0.495,0.474,0.341,0.607,0.462,0.9109999999999999,-0.9,-1.9,-1.0,-26.3
136,Nikoloz Basilashvili,44,4.0,4.1,3.9,0.45799999999999996,0.527,0.56,0.534,0.53,0.051,6.8,4.6,2.0,1.6
137,Laslo Djere,30,4.4,4.5,4.4,0.49,0.475,0.489,0.485,0.515,0.191,7.1,4.9,-1.9,-1.6
138,Tommy Haas,40,4.0,4.0,4.0,0.48,0.48,0.45299999999999996,0.47100000000000003,0.465,0.337,3.3,2.7,1.0,1.0
139,Rafael Nadal,450,4.8,5.0,4.5,0.512,0.5429999999999999,0.547,0.54,0.5489999999999999,0.174,15.5,8.7,2.7,2.2
140,Bernard Tomic,31,3.9,4.1,3.7,0.503,0.44299999999999995,0.5329999999999999,0.479,0.501,0.365,7.3,6.1,-0.9,-1.1
141,David Nalbandian,44,4.5,4.7,4.2,0.466,0.495,0.562,0.525,0.46399999999999997,0.14300000000000002,8.7,6.1,5.4,3.6
142,Guillermo Coria,27,5.5,5.7,5.3,0.48700000000000004,0.49700000000000005,0.507,0.531,0.517,0.064,6.0,2.9,5.9,2.9
143,Viktor Troicki,21,4.0,4.0,4.0,0.502,0.455,0.387,0.373,0.473,0.09,-4.1,-4.6,-2.2,-2.1
144,Ivan Lendl,92,4.5,4.7,4.3,0.505,0.52,0.519,0.491,0.425,0.439,10.2,6.6,3.5,3.0
145,Frances Tiafoe,53,3.9,4.0,3.8,0.484,0.49,0.491,0.467,0.46,0.19699999999999998,3.8,3.4,2.5,2.2
146,Diego Schwartzman,113,5.0,5.1,4.8,0.473,0.519,0.546,0.509,0.49700000000000005,0.114,5.2,3.2,3.3,2.1
147,Philipp Kohlschreiber,41,4.0,4.3,3.7,0.5,0.513,0.496,0.46799999999999997,0.527,0.273,8.7,6.9,0.6,0.7
148,Pablo Cuevas,37,4.1,4.1,4.1,0.508,0.531,0.524,0.509,0.54,0.17600000000000002,9.6,7.2,-0.2,-0.2
149,Richard Krajicek,21,2.7,2.3,3.2,0.504,0.506,0.395,0.49,0.406,0.66,3.5,6.4,-0.4,-1.5
150,Marin Cilic,91,3.7,3.5,3.8,0.49700000000000005,0.506,0.491,0.499,0.544,0.129,8.4,6.0,-2.0,-1.9
151,Alexandr Dolgopolov,24,3.7,3.8,3.7,0.49,0.498,0.515,0.517,0.48200000000000004,0.156,6.6,7.0,1.4,1.4
152,Juan Martin Del Potro,144,4.2,4.2,4.3,0.52,0.502,0.47600000000000003,0.508,0.48200000000000004,0.275,11.5,8.4,1.1,1.0
153,Filip Krajinovic,35,4.0,4.3,3.8,0.47,0.47600000000000003,0.522,0.486,0.47200000000000003,0.18600000000000003,0.6,0.6,1.7,1.7
154,Jordan Thompson,22,4.2,4.2,4.2,0.494,0.496,0.466,0.49,0.537,0.175,0.9,0.6,-2.1,-1.9
155,Vasek Pospisil,24,3.2,3.3,3.2,0.496,0.499,0.473,0.451,0.562,0.33399999999999996,4.1,4.2,-2.7,-5.1
156,Alex De Minaur,73,5.0,5.1,4.8,0.5,0.499,0.51,0.506,0.479,0.11800000000000001,6.0,3.8,1.1,0.7
