player_id,Player,Matches,SnV Freq,SnV W%,Net Freq,Net W%,FH Wnr%,FH DTL Wnr%,FH IO Wnr%,BH Wnr%,BH DTL Wnr%,Drop Freq,Drop Wnr%,RallyAgg,ReturnAgg
84,Brandon Nakashima,26,0.033,0.636,0.11599999999999999,0.713,0.131,0.166,0.094,0.078,0.28,0.006999999999999999,0.462,-31,-15
85,Mikhail Kukushkin,22,0.005,0.625,0.087,0.6609999999999999,0.125,0.166,0.096,0.055999999999999994,0.156,0.012,0.35100000000000003,-41,-40
86,Richard Gasquet,84,0.047,0.716,0.12300000000000001,0.684,0.1,0.132,0.061,0.09300000000000001,0.278,0.015,0.402,-61,-52
87,Feliciano Lopez,64,0.304,0.6920000000000001,0.22699999999999998,0.68,0.095,0.18,0.052000000000000005,0.081,0.157,0.013000000000000001,0.185,-2,36
88,James Blake,25,0.052000000000000005,0.64,0.132,0.669,0.16399999999999998,0.19899999999999998,0.125,0.084,0.22699999999999998,0.008,0.231,10,13
89,Jeremy Chardy,27,0.016,0.613,0.096,0.6779999999999999,0.165,0.20800000000000002,0.124,0.06,0.18899999999999997,0.006,0.306,43,68
90,Pablo Carreno Busta,60,0.019,0.649,0.08900000000000001,0.693,0.131,0.22399999999999998,0.102,0.07,0.248,0.015,0.414,-44,-41
91,Steve Johnson,29,0.038,0.802,0.10400000000000001,0.6990000000000001,0.196,0.28,0.19699999999999998,0.145,0.295,0.015,0.284,22,26
92,Damir Dzumhur,23,0.034,0.603,0.131,0.674,0.092,0.142,0.083,0.071,0.243,0.035,0.307,-48,-43
93,Gilles Muller,22,0.342,0.737,0.248,0.718,0.16,0.215,0.071,0.094,0.179,0.013999999999999999,0.281,54,74
94,Andy Murray,277,0.02,0.6779999999999999,0.10400000000000001,0.701,0.105,0.136,0.077,0.07400000000000001,0.205,0.013999999999999999,0.28800000000000003,-65,-46
95,Mischa Zverev,23,0.5429999999999999,0.594,0.344,0.61,0.065,0.10400000000000001,0.031,0.091,0.171,0.004,0.381,-57,-39
96,Tommy Paul,39,0.044000000000000004,0.66,0.11199999999999999,0.6990000000000001,0.14300000000000002,0.17800000000000002,0.094,0.07200000000000001,0.23800000000000002,0.006,0.21600000000000003,-14,-12
97,Karen Khachanov,75,0.006,0.424,0.08900000000000001,0.6609999999999999,0.127,0.182,0.092,0.076,0.267,0.008,0.313,-39,-20
98,Carlos Moya,37,0.044000000000000004,0.629,0.145,0.679,0.12300000000000001,0.18,0.071,0.075,0.183,0.011000000000000001,0.395,-34,-28
99,Guido Pella,29,0.004,0.7,0.096,0.705,0.099,0.149,0.052000000000000005,0.057999999999999996,0.11800000000000001,0.013000000000000001,0.369,-65,-55
100,Jannik Sinner,116,0.012,0.696,0.102,0.713,0.134,0.20199999999999999,0.16399999999999998,0.065,0.26,0.01,0.40700000000000003,-20,-10
101,Casper Ruud,116,0.01,0.654,0.08900000000000001,0.7070000000000001,0.14800000000000002,0.196,0.113,0.062,0.23800000000000002,0.011000000000000001,0.285,-50,-36
102,Petr Korda,21,0.075,0.647,0.126,0.698,0.17800000000000002,0.251,0.12300000000000001,0.154,0.21600000000000003,0.004,0.45,80,60
103,Hubert Hurkacz,156,0.031,0.67,0.13,0.682,0.125,0.16399999999999998,0.10800000000000001,0.068,0.182,0.013999999999999999,0.276,-17,14
104,Jan Lennard Struff,34,0.175,0.665,0.161,0.664,0.157,0.268,0.14,0.1,0.34299999999999997,0.002,0.364,34,54
105,Dusan Lajovic,30,0.008,0.8240000000000001,0.086,0.6809999999999999,0.129,0.185,0.09,0.075,0.223,0.017,0.32899999999999996,-24,-25
106,Nick Kyrgios,120,0.07,0.627,0.095,0.633,0.162,0.204,0.147,0.08900000000000001,0.192,0.024,0.322,5,40
107,Tim Henman,31,0.452,0.659,0.35200000000000004,0.648,0.171,0.217,0.1,0.172,0.303,0.006,0.222,44,52
108,Jaume Munar,21,0.021,0.6409999999999999,0.081,0.6829999999999999,0.099,0.142,0.106,0.055999999999999994,0.22899999999999998,0.017,0.389,-98,-80
109,Daniel Evans,37,0.079,0.642,0.151,0.664,0.132,0.184,0.092,0.183,0.33799999999999997,0.013000000000000001,0.276,-59,-47
110,Benoit Paire,46,0.1,0.679,0.14400000000000002,0.695,0.11,0.17800000000000002,0.054000000000000006,0.145,0.327,0.04,0.23199999999999998,58,74
111,Jiri Lehecka,21,0.055,0.6459999999999999,0.136,0.6679999999999999,0.152,0.258,0.12300000000000001,0.07400000000000001,0.312,0.006,0.267,25,13
112,Thomaz Bellucci,20,0.013999999999999999,0.429,0.077,0.6859999999999999,0.115,0.22399999999999998,0.055999999999999994,0.07,0.171,0.018000000000000002,0.52,-7,5
113,Federico Delbonis,29,0.005,0.5,0.08900000000000001,0.6609999999999999,0.11800000000000001,0.175,0.091,0.063,0.096,0.01,0.395,-14,-10
114,Tallon Griekspoor,50,0.064,0.6559999999999999,0.134,0.68,0.171,0.226,0.159,0.098,0.297,0.009000000000000001,0.318,17,35
115,Robin Haase,55,0.04,0.6729999999999999,0.106,0.721,0.12300000000000001,0.154,0.121,0.084,0.257,0.024,0.308,-46,-21
116,Gilles Simon,67,0.01,0.6729999999999999,0.098,0.672,0.081,0.141,0.06,0.057,0.183,0.001,0.28,-103,-92
117,Aslan Karatsev,35,0.008,0.7140000000000001,0.08800000000000001,0.7390000000000001,0.166,0.23,0.195,0.102,0.29,0.008,0.257,73,56
118,Roberto Bautista Agut,86,0.004,0.731,0.084,0.696,0.121,0.157,0.12300000000000001,0.034,0.18600000000000003,0.012,0.36200000000000004,-77,-69
119,Marco Cecchinato,26,0.027000000000000003,0.741,0.10400000000000001,0.7240000000000001,0.145,0.204,0.11599999999999999,0.076,0.248,0.042,0.373,3,6
120,Jack Sock,27,0.049,0.667,0.11,0.6920000000000001,0.155,0.205,0.113,0.069,0.157,0.022000000000000002,0.267,22,32
121,Jim Courier,47,0.066,0.608,0.136,0.6759999999999999,0.146,0.18100000000000002,0.075,0.11,0.29100000000000004,0.006,0.342,-10,-6
122,Karim Mohamed Maamoun,46,0.002,0.833,0.067,0.605,0.131,0.147,0.069,0.057,0.28,0.022000000000000002,0.377,-9,-10
123,Paolo Lorenzi,21,0.076,0.746,0.145,0.688,0.083,0.14,0.077,0.054000000000000006,0.166,0.013999999999999999,0.39,-71,-48
124,Marcelo Rios,31,0.025,0.7140000000000001,0.115,0.706,0.132,0.215,0.059000000000000004,0.085,0.14,0.004,0.262,-18,-14
125,Sebastian Baez,31,0.005,0.8,0.081,0.691,0.121,0.172,0.109,0.06,0.19,0.021,0.447,-35,-43
126,Stan Wawrinka,140,0.027000000000000003,0.7170000000000001,0.099,0.6859999999999999,0.142,0.204,0.161,0.10099999999999999,0.254,0.006,0.287,0,9
127,Boris Becker,109,0.612,0.6809999999999999,0.353,0.669,0.172,0.222,0.126,0.127,0.21899999999999997,0.006,0.265,30,65
128,Fabio Fognini,63,0.006,0.8,0.094,0.7709999999999999,0.14800000000000002,0.19399999999999998,0.095,0.071,0.203,0.019,0.366,15,6
129,Stefanos Tsitsipas,164,0.049,0.7070000000000001,0.134,0.718,0.156,0.22,0.134,0.062,0.222,0.015,0.31,-21,-5
130,David Goffin,80,0.012,0.74,0.09699999999999999,0.721,0.125,0.172,0.094,0.077,0.207,0.008,0.335,-27,-19
131,Daniil Medvedev,215,0.018000000000000002,0.638,0.09699999999999999,0.662,0.10300000000000001,0.153,0.113,0.066,0.19699999999999998,0.013000000000000001,0.29100000000000004,-81,-49
132,Pedro Martinez,20,0.037000000000000005,0.7170000000000001,0.147,0.677,0.105,0.11,0.153,0.071,0.195,0.034,0.319,-63,-53
133,Robin Soderling,25,0.003,0.833,0.105,0.685,0.14300000000000002,0.151,0.157,0.087,0.196,0.001,0.3,22,30
134,Andrey Rublev,123,0.006999999999999999,0.7759999999999999,0.066,0.705,0.163,0.209,0.149,0.055999999999999994,0.207,0.002,0.379,-35,-20
135,Ivo Karlovic,42,0.764,0.655,0.37,0.636,0.222,0.272,0.243,0.12,0.111,0.013999999999999999,0.281,95,156
136,Nikoloz Basilashvili,44,0.006999999999999999,0.391,0.057999999999999996,0.659,0.13699999999999998,0.168,0.136,0.092,0.23199999999999998,0.004,0.212,48,42
137,Laslo Djere,30,0.022000000000000002,0.688,0.078,0.67,0.121,0.168,0.113,0.055999999999999994,0.18,0.01,0.261,-17,-6
138,Tommy Haas,40,0.063,0.633,0.11699999999999999,0.665,0.12300000000000001,0.16399999999999998,0.09300000000000001,0.1,0.261,0.013000000000000001,0.289,-16,2
139,Rafael Nadal,450,0.013999999999999999,0.7759999999999999,0.086,0.737,0.127,0.187,0.086,0.075,0.115,0.008,0.406,-70,-59
140,Bernard Tomic,31,0.011000000000000001,0.519,0.066,0.7090000000000001,0.139,0.16899999999999998,0.147,0.08,0.185,0.006999999999999999,0.345,-21,-12
141,David Nalbandian,44,0.018000000000000002,0.648,0.114,0.679,0.125,0.172,0.10400000000000001,0.08800000000000001,0.215,0.013999999999999999,0.36200000000000004,-22,-22
142,Guillermo Coria,27,0.009000000000000001,0.652,0.107,0.679,0.07400000000000001,0.11800000000000001,0.064,0.062,0.204,0.022000000000000002,0.294,-88,-82
